,title,authors,paper,presentation,best,theme
0,Autonomous UAS Research,"C.J Taylor, University of Pennsylvania",,,,
1,ATC In The Present/Future,"Eric Silverman, Manager ATC/Airfield Operations:PHL/NY & NE Region Airport Operations at PHL American Airlines",,/icrat/seminarContent/2016/keynotes/ICRAT_Eric_Silverman_AA.PDF,,
2,Quantitative Risk Management,"Captain Manfred Müller, Deutsche Lufthansa AG, Flight Safety Department FRA CF/J",,/icrat/seminarContent/2016/keynotes/ICRAT M.Muller JUN2016.pdf,,
