,title,authors,paper,presentation,best,theme
0,Human Performance Measurement,Brian Hilburn (CHPR),../seminarContent/2016/tutorials/1-Hilburn-HF-perf-1-Overview.pdf,,,
1,Human–in–the–Loop Simulation,Michael Schultz (DLR),../seminarContent/2016/tutorials/Schultz-Human-in-the-loop-evaluations.pdf,,,
2,Aircraft Performance Models in ATM Simulation,Jacco Hoekstra (TU Delft),../seminarContent/2016/tutorials/3-Hoekstra-Acft-Perf-models-BADA.pdf,,,
3,Drone Human Factors,"Dale Richards (Coventry University, UK)",../seminarContent/2016/tutorials/4-Richards-UAS-HF.pdf,,,
4,Application of Fast–time Computer Modeling for ATM Systems,"Mike Paglione, Albert Schwartz, Christina Young, Jessica Young, Marie Kee (FAA) ",../seminarContent/2016/tutorials/5-FAA-TC-ATM-Fast-time-sim.pdf,,,
5,Quantitative Performance Assessment Studies in Air Transportation: Portable Brain Activity Monitoring Technology,Kurtulus Izzetoglu (Drexel)        ,../seminarContent/2016/tutorials/6-Izzetoglu-HF-Perf-2-Brain-Activity.pdf,,,
6,Mathematical Optimization with Applications to ATM,Daniel Delahaye (ENAC),../seminarContent/2016/tutorials/7-Delahaye-Mathematical-Optimization-in-ATM.pdf,,,
