year,priority,name,link,alt,small_logo,large_logo
2022,1,University of South Florida Research & Innovation,https://www.usf.edu/research-innovation/,University of South Florida Research & Innovation,img/sponsors/2022/usf_ri_small.png,
2022,2,Tampa International Airport,https://www.tampaairport.com/,Tampa International Airport,img/sponsors/2022/tia_ga_logo_medium.png,
2022,3,Center for Urban Transportation Research,https://www.cutr.usf.edu/,Center for Urban Transportation Research,img/sponsors/2022/cutr-circle-with-text-small.png,
2024,1,Nanyang Technological University,https://www.ntu.edu.sg/,Nanyang Technological University,img/sponsors/2024/NTU_Logo_Reverse.png,
